CityProv,Age0to24,Age0to24percent,Age25to44,Age25to44percent,Age45to64,Age45to64percent,Age65up,Age65uppercent,Inc0to15,Inc0to15percent,Inc100up,Inc100uppercent,Inc15to25,Inc15to25percent,Inc25to35,Inc25to35percent,Inc35to50,Inc35to50percent,Inc50to75,Inc50to75percent,Inc75to100,Inc75to100percent,Median Age,Median Income
"Owen Sound, Ontario",6731,17,5048,17,7212,17,5048,17,5529,23,1202,5,4808,20,3606,15,4086,17,3365,14,1442,6,43,27270
"Parksville, British Columbia",4381,17,3164,17,7302,17,9492,17,4868,20,973,4,5354,22,3894,16,4137,17,3651,15,1460,6,53,17500
"Pembroke, Ontario",6197,16,4915,16,6197,16,4060,16,4701,22,1068,5,4274,20,2991,14,3419,16,3419,16,1495,7,42,30300
"Penticton, British Columbia",8054,16,7004,16,10506,16,9105,16,8054,23,1400,4,8054,23,5253,15,5603,16,4902,14,1751,5,46,23200
"Petawawa, Ontario",3739,12,3640,12,1771,12,688,12,1869,19,492,5,1082,11,787,8,1180,12,3247,33,1180,12,32,52480
"Peterborough, Ontario",26868,17,20383,17,26868,17,19456,17,21309,23,4632,5,17603,19,12971,14,15750,17,13897,15,6485,7,42,27730
"Port Alberni, British Columbia",5476,17,3912,17,6063,17,4107,17,4890,25,782,4,3912,20,2934,15,3325,17,2542,13,1173,6,43,23740
"Port Hope, Ontario",3464,18,2694,18,3977,18,2694,18,2822,22,769,6,2309,18,1667,13,2309,18,1924,15,1026,8,43,27800
"Portage la Prairie, Manitoba",4810,17,3120,17,3120,17,1950,17,3380,26,390,3,2730,21,1950,15,2210,17,1690,13,650,5,37,23180
"Powell River, British Columbia",3285,17,2601,17,4517,17,3285,17,3285,24,547,4,2874,21,1916,14,2327,17,1916,14,821,6,46,23510
"Prince Albert, Saskatchewan",11840,17,7790,17,7478,17,4050,17,6543,21,1869,6,5608,18,4362,14,5297,17,4674,15,2804,9,36,32640
"Prince George, British Columbia",20233,16,17072,16,18336,16,8219,16,12646,20,5058,8,10749,17,7587,12,10116,16,11381,18,5690,9,38,35120
"Prince Rupert, British Columbia",3258,14,2327,14,2699,14,1117,14,2234,24,651,7,1675,18,1396,15,1303,14,1303,14,744,8,37,28300
"Quesnel, British Columbia",5076,13,3891,13,5245,13,2707,13,4060,24,1015,6,3384,20,2199,13,2199,13,2538,15,1522,9,41,29110
"Qu�bec, Quebec",167796,20,161582,20,180226,20,105649,20,118079,19,31073,5,105649,17,87005,14,124294,20,118079,19,37288,6,41,33880
"Red Deer, Alberta",24939,15,22738,15,17604,15,8068,15,13203,18,8802,12,11736,16,8802,12,11002,15,12469,17,7335,10,35,38250
"Regina, Saskatchewan",54201,17,49120,17,44038,17,22019,17,28794,17,16938,10,25407,15,22019,13,28794,17,32182,19,15244,9,37,39600
"Rimouski, Quebec",11005,19,9735,19,13545,19,8042,19,8466,20,1693,4,8466,20,6772,16,8042,19,6772,16,2116,5,43,29480
"Rivi�re-du-loup, Quebec",6139,20,5230,20,7049,20,4320,20,4775,21,682,3,4775,21,3865,17,4548,20,3183,14,909,4,43,28280
"Rouyn-Noranda, Quebec",10104,18,8420,18,10104,18,5052,18,6736,20,2357,7,6399,19,4378,13,6062,18,5052,15,2694,8,40,33600
"Saguenay, Quebec",35143,18,29936,18,41651,18,23428,18,29936,23,6508,5,24730,19,18222,14,23428,18,19524,15,7809,6,42,29270
"Saint John, New Brunswick",28051,17,24182,17,29019,17,15476,17,22247,23,5803,6,18378,19,13542,14,16444,17,13542,14,6771,7,40,31710
"Saint-Georges, Quebec",8186,21,7057,21,8469,21,4799,21,6210,22,846,3,5928,21,4516,16,5928,21,3952,14,846,3,41,28800
"Saint-Hyacinthe, Quebec",12741,20,10853,20,14157,20,9438,20,9909,21,1415,3,10853,23,7550,16,9438,20,6134,13,1887,4,43,28660
"Saint-Jean-sur-Richelieu, Quebec",22029,19,18357,19,21294,19,11748,19,15420,21,2937,4,14686,20,10280,14,13951,19,12483,17,3671,5,40,31530
"Salaberry-de-Valleyfield, Quebec",8580,17,7260,17,10230,17,6930,17,7920,24,660,2,7590,23,5280,16,5610,17,4290,13,1650,5,44,26620
"Salmon Arm, British Columbia",3979,16,2948,16,4422,16,3537,16,3390,23,589,4,3242,22,2211,15,2358,16,2063,14,884,6,44,22540
"Sarnia, Ontario",19801,16,15021,16,19801,16,12973,16,15021,22,6145,9,11607,17,8876,13,10924,16,10242,15,5462,8,42,28900
"Saskatoon, Saskatchewan",67359,17,61236,17,51030,17,24494,17,38782,19,18370,9,30618,15,26535,13,34700,17,36741,18,18370,9,37,37070
"Sault Ste. Marie, Ontario",17805,16,14625,16,19077,16,12718,16,14625,23,3179,5,11446,18,9538,15,10174,16,8902,14,5723,9,42,27690
"Sept-�les, Quebec",7094,17,5764,17,6429,17,3103,17,4434,20,2217,10,3547,16,2882,13,3768,17,3325,15,1995,9,38,35360
"Shawinigan, Quebec",10596,18,9214,18,15203,18,11056,18,11517,25,1382,3,11056,24,6910,15,8292,18,5528,12,1382,3,46,24570
"Sherbrooke, Quebec",46701,18,40260,18,46701,18,27376,18,37039,23,6441,4,33818,21,24156,15,28987,18,22545,14,8052,5,41,28330
"Sorel-Tracy, Quebec",9340,17,8934,17,13401,17,9340,17,9746,24,1624,4,8528,21,6091,15,6903,17,5279,13,2436,6,45,29630
